time,CHD_L01,CHD_L06,CHD_L11,CHD_L13
30041.50,-15.8985,-45.2474,-45.2474,-45.4632
30042.50,-15.8991,-45.2400,-45.2400,-45.4607
30043.50,-15.8997,-45.2324,-45.2324,-45.4577
30044.50,-15.9003,-45.2251,-45.2251,-45.4543
30045.50,-15.9010,-45.2175,-45.2175,-45.4507
30046.50,-15.9016,-45.2102,-45.2102,-45.4467
30047.50,-15.9022,-45.2026,-45.2026,-45.4421
30048.50,-15.9025,-45.1952,-45.1952,-45.4376
30049.50,-15.9031,-45.1879,-45.1879,-45.4327
30050.50,-15.9037,-45.1803,-45.1803,-45.4275
30051.50,-15.9043,-45.1730,-45.1730,-45.4223
30052.50,-15.9049,-45.1654,-45.1654,-45.4171
30053.50,-15.9055,-45.1581,-45.1581,-45.4117
30054.50,-15.9058,-45.1507,-45.1507,-45.4062
30055.50,-15.9064,-45.1431,-45.1431,-45.4007
30056.50,-15.9070,-45.1358,-45.1358,-45.3955
30057.50,-15.9077,-45.1282,-45.1282,-45.3900
30058.50,-15.9080,-45.1209,-45.1209,-45.3848
30059.50,-15.9086,-45.1136,-45.1136,-45.3796
30060.50,-15.9092,-45.1059,-45.1059,-45.3748
30061.50,-15.9098,-45.0986,-45.0986,-45.3702
30062.50,-15.9104,-45.0910,-45.0910,-45.3659
30063.50,-15.9107,-45.0837,-45.0837,-45.3620
30064.50,-15.9113,-45.0761,-45.0761,-45.3583
30065.50,-15.9119,-45.0687,-45.0687,-45.3550
30066.50,-15.9125,-45.0614,-45.0614,-45.3519
30067.50,-15.9128,-45.0538,-45.0538,-45.3495
30068.50,-15.9134,-45.0465,-45.0465,-45.3476
30069.50,-15.9141,-45.0389,-45.0389,-45.3464
30070.50,-15.9147,-45.0316,-45.0316,-45.3455
30071.50,-15.9150,-45.0377,-45.0377,-45.3452
30072.50,-15.9156,-45.0438,-45.0438,-45.3455
30073.50,-15.9162,-45.0499,-45.0499,-45.3464
30074.50,-15.9168,-45.0559,-45.0559,-45.3473
30075.50,-15.9171,-45.0620,-45.0620,-45.3489
30076.50,-15.9177,-45.0681,-45.0681,-45.3501
30077.50,-15.9183,-45.0742,-45.0742,-45.3516
30078.50,-15.9189,-45.0663,-45.0663,-45.3531
30079.50,-15.9195,-45.0581,-45.0581,-45.3543
30080.50,-15.9198,-45.0502,-45.0502,-45.3556
30081.50,-15.9205,-45.0422,-45.0422,-45.3571
30082.50,-15.9211,-45.0340,-45.0340,-45.3583
30083.50,-15.9217,-45.0261,-45.0261,-45.3592
30084.50,-15.9223,-45.0182,-45.0182,-45.3604
30085.50,-15.9226,-45.0099,-45.0099,-45.3617
30086.50,-15.9232,-45.0020,-45.0020,-45.3626
30087.50,-15.9238,-44.9941,-44.9941,-45.3638
30088.50,-15.9244,-44.9861,-44.9861,-45.3647
30089.50,-15.9250,-44.9779,-44.9779,-45.3659
30090.50,-15.9256,-44.9700,-44.9700,-45.3668
30091.50,-15.9259,-44.9621,-44.9621,-45.3678
30092.50,-15.9266,-44.9538,-44.9538,-45.3690
30093.50,-15.9272,-44.9459,-44.9459,-45.3699
30094.50,-15.9278,-44.9380,-44.9380,-45.3708
30095.50,-15.9284,-44.9298,-44.9298,-45.3720
30096.50,-15.9290,-44.9218,-44.9218,-45.3729
30097.50,-15.9296,-44.8816,-44.8816,-45.3739
30098.50,-15.9302,-44.8414,-44.8414,-45.3751
30099.50,-15.9308,-44.8011,-44.8011,-45.3760
30100.50,-15.9314,-44.7609,-44.7609,-45.3769
30101.50,-15.9320,-44.7207,-44.7207,-45.3778
30102.50,-15.9327,-44.6804,-44.6804,-45.3787
30103.50,-15.9333,-44.6402,-44.6402,-45.3793
30104.50,-15.9339,-44.6003,-44.6003,-45.3800
30105.50,-15.9345,-44.5600,-44.5600,-45.3803
30106.50,-15.9351,-44.5198,-44.5198,-45.3803
30107.50,-15.9357,-44.4796,-44.4796,-45.3803
30108.50,-15.9363,-44.4393,-44.4393,-45.3796
30109.50,-15.9369,-44.3991,-44.3991,-45.3790
30110.50,-15.9375,-44.3589,-44.3589,-45.3781
30111.50,-15.9381,-44.3186,-44.3186,-45.3769
30112.50,-15.9387,-44.2784,-44.2784,-45.3751
30113.50,-15.9394,-44.2382,-44.2382,-45.3732
30114.50,-15.9400,-44.1979,-44.1979,-45.3708
30115.50,-15.9406,-44.1577,-44.1577,-45.3678
30116.50,-15.9412,-44.1175,-44.1175,-45.3644
30117.50,-15.9418,-44.0772,-44.0772,-45.3607
30118.50,-15.9424,-44.0370,-44.0370,-45.3565
30119.50,-15.9427,-43.9968,-43.9968,-45.3516
30120.50,-15.9433,-43.9568,-43.9568,-45.3461
30121.50,-15.9439,-43.9166,-43.9166,-45.3400
30122.50,-15.9445,-43.8764,-43.8764,-45.3336
30123.50,-15.9451,-43.8361,-43.8361,-45.3263
30124.50,-15.9458,-43.7959,-43.7959,-45.3184
30125.50,-15.9461,-43.7557,-43.7557,-45.3098
30126.50,-15.9467,-43.7154,-43.7154,-45.3007
30127.50,-15.9473,-43.6752,-43.6752,-45.2906
30128.50,-15.9479,-43.6429,-43.6429,-45.2800
30129.50,-15.9482,-43.6106,-43.6106,-45.2684
30130.50,-15.9488,-43.5783,-43.5783,-45.2562
30131.50,-15.9494,-43.5460,-43.5460,-45.2437
30132.50,-15.9497,-43.5136,-43.5136,-45.2303
30133.50,-15.9503,-43.4813,-43.4813,-45.2163
30134.50,-15.9506,-43.4490,-43.4490,-45.2019
30135.50,-15.9512,-43.4167,-43.4167,-45.1870
30136.50,-15.9519,-43.3844,-43.3844,-45.1718
30137.50,-15.9522,-43.3521,-43.3521,-45.1559
30138.50,-15.9528,-43.3198,-43.3198,-45.1401
30139.50,-15.9531,-43.2875,-43.2875,-45.1236
30140.50,-15.9534,-43.2552,-43.2552,-45.1068
30141.50,-15.9540,-43.2229,-43.2229,-45.0901
30142.50,-15.9543,-43.1906,-43.1906,-45.0730
30143.50,-15.9549,-43.1582,-43.1582,-45.0556
30144.50,-15.9552,-43.1259,-43.1259,-45.0386
30145.50,-15.9558,-43.0936,-43.0936,-45.0212
30146.50,-15.9561,-43.0613,-43.0613,-45.0035
30147.50,-15.9564,-43.0290,-43.0290,-44.9861
30148.50,-15.9570,-42.9967,-42.9967,-44.9688
30149.50,-15.9573,-42.9644,-42.9644,-44.9517
30150.50,-15.9576,-42.9321,-42.9321,-44.9346
30151.50,-15.9583,-42.8998,-42.8998,-44.9176
30152.50,-15.9586,-42.8675,-42.8675,-44.9008
